long_name;short_name;author;organization
"Branca, Mirella.   Viaggio nell'Esotismo Settecentesco alla Villa del Poggio Imperiale a Firenze  : Il Riallestimento delle Stanza dei Quadri Cinesi e i Restauri nei Quartieri Leopoldini al Piano Nobile / M. Branca. - Livorno : Sillabe  , 2011. - 119 с. : ил. ; 30 см. - (Firenze Musei). - Библиогр. в примеч. - ISBN 9788883476266.";Viaggio nell'Esotismo Settecentesco alla Villa del Poggio Imperiale a Firenze ;Branca M.;
"""Borys Kosarev: Modernist Kharkiv 1915-1931"". exhibition (2011-2012; New York / Kiev).   Borys Kosarev : Modernist Kharkiv 1915-1931 / curator M.M. Mudrak ; articles by M.M. Mudrak, V. Chechyk, T. Pavlova. - Kiev : Rodovid, 2011. - 213 с. : ил. ; 29 см. - The Ukrainian Museum (New York): 4 Dec. 2011 - 2 May 2012. - Museum of Theatrical, Musical, and Cinematic Art of Ukraine (Kyiv): 17 May - 12 Jun. 2012. - ISBN 978-966-7845-68-1.";Borys Kosarev;;The Ukrainian Museum (New York): 4 Dec. 2011 - 2 May 2012
"   ""Персонажи в поисках автора""... : Жизнь русских в Италии  XX века : [сборник статей] / сост., науч. ред. : Антонелла д'Амелия, Даниела Рицци ; пер. с итал.: Анна Ямпольская. - М. : Русский Мир	, 2011. - 320 с.,  [10] л. фот. : ил. ; 23 см. - Библиогр.: с. 8-10. - ISBN 978-5-85887-393-8.";"""Персонажи в поисках автора""...";;
"Трубецкой, Сергей Петрович.    Записки	 ; Письма И.Н.Толстому 1818-1823  / С.П. Трубецкой ; сост. Т.В. Андреева, П.В. Ильин. - СПб. : Лики России	, 2011. - 384 с., [8] л. ил. ; 22 см. - ISBN 978-5-87417-353-1."; Записки	;Трубецкой С.П.;
"Сироткина, Алла.   Чтобы не быть друг от друга далеко… = Да не будемо далеко jедни од других... / Алла Сироткина ; пер. Юлия Карагод, Душан Стевич. - М. : Милан Комленович и Татьяна Хомутова, 2010. - 239 с. : ил. ; 23х25 см. - Библиогр.: с. 228. - Проект ""Мемориал русским людям"". - ISBN 978-5-91487-020-8.";Чтобы не быть друг от друга далеко…;Сироткина А.;"Проект ""Мемориал русским людям"""
"""Футурология: современные русские художники и наследие авангарда"". выставка (2010; Москва).   Футурология : Современные русские художники и наследие авангарда / авт.-сост. Э. Микаелофф. - М. : Пинакотека, 2010. - 93 с. : ил. ; 28 см. - Центр современной культуры ""Гараж"" (Москва): 5 мар. - 23 мая 2010. - ISBN 978-5-903888-17-7.";Футурология;;"Центр современной культуры ""Гараж"" (Москва): 5 мар. - 23 мая 2010"
"Карасик, Михаил Семенович.   Ударная книга советской детворы  : Фотоиллюстрация и фотомонтаж в книге для детей и юношества 1920-1930-х годов / М.С. Карасик. - М. : Контакт-Культура, 2010. - 280 с. : ил. ; 31 см. - Библиогр. в примеч. - Резюме англ. - ISBN 978-5-903406-23-4.";Ударная книга советской детворы ;Карасик М.С.;Резюме англ.
"Сис, Петр.   Стена : как я рос за железным занавесом / П. Сис ; пер. с чеш. К. Тименчик ; ил. П. Сиса. - М. : Самокат, 2010. - 56 с. : ил. ; 32 см. - ISBN 978-5-91759-004-2.";Стена;Сис П.;
"Хмельницкая, Екатерина Сергеевна.   Серафим Судьбинин на переломе эпох: : От модерна до ар деко  / Е.С. Хмельницкая. - СПб. : Чистый лист, 2010. - 163 с. : ил. ; 23 см. - Библиогр.: с.161-162. - ISBN 978-5-90152-821-1	.";Серафим Судьбинин на переломе эпох:;Хмельницкая Е.С.;
"«Семейный альбом. Из истории фотоателье». выставка (2010-2011; Москва).   Семейный альбом : Из истории фотоателье : [каталог] / автор текста и составитель: Т.Г. Сабурова. - М. : Государственный исторический музей, 2010. - 72 с. : ил. ; 17 см. - ГИМ, Галерея Воскресенских ворот (Москва): 23 дек. 2010 - 4 апр. 2011.";Семейный альбом;;ГИМ, Галерея Воскресенских ворот (Москва): 23 дек. 2010 - 4 апр. 2011
"   Русский фарфор и фаянс XVIII – начала XX века : Каталог / авт. вступ. ст. и сост. кат. Е.Н. Кондратенко. - Новосибирск : [Новосибирский государственный художественный музей], 2010. - 31 с. : ил. ; 22 см. - ISBN 978-5-379-01703-3.";Русский фарфор и фаянс XVIII – начала XX века;;
"""Русские утопии"". выставка (2010; Москва).   Русские утопии / авт.-сост. Ю. Аксенова, Т. Волкова. - М. : Пинакотека, 2010. - 125 с. : ил. ; 28 см. - Центр современной культуры ""Гараж"": 5 мар. - 23 мая 2010. - ISBN 978-5-903888-18-4.";Русские утопии;;"Центр современной культуры ""Гараж"": 5 мар. - 23 мая 2010"
"Готье, Теофиль.   Роман о мумии / Т. Готье ; пер. с фр. А.П. Воротникова под ред. Е.Н. Березиной ; ил. Ж. Барбье. - СПб. : Вита Нова, 2010. - 246 с. : ил. ; 25 см. - (Фамильная библиотека : Будуар). - Библиогр. в подстр. примеч. - ISBN 978-5-93898-272-7.";Роман о мумии;Готье Т.;
"Аслиян, Гайк Константинович.   Римская коллекция: деньги, лица, судьбы / Г.К. Аслиян ; лит. ред. С. Кононова. - М.  : [Б. и.], 2010. - 196, [4] c. : ил. ; 29 см. - Библиогр.: с. 198. - На корешке авт. не указан.";Римская коллекция: деньги, лица, судьбы;Аслиян Г.К.;На корешке авт. не указан
"Музейное объединение ""Музей истории Москвы"".   Провиантские магазины : Диалог прошлого с настоящим /  ; автор текста Ю.В. Ратомская. - М. : Лингва-Ф, 2010. - 159 с. : ил. ; 29 см. - ISBN 978-5-91477-007-2.";Провиантские магазины;;
"Ильин, Владимир Николаевич.   Пожар миров : избранные статьи из журнала ""Возрождение""  / В.Н. Ильин. - М. : Прогресс-Традиция, 2010. - 752 с. ; 22 см. - Библиогр.: с. 750-752. - ISBN 978-5-89826-231-8.";Пожар миров;Ильин В.Н.;
"Басс, Вадим Григорьевич.   Петербургская неоклассическая архитектура 1900-1910-х годов в зеркале конкурсов : слово и форма / Вадим Басс. - СПб. :  Европейский университет в Санкт-Петербурге, 2010. - 487 с. : ил., план., рис. ; 22 см. - В содерж.: ""Петербург: сослагательное наклонение""/ художник Евгений Попов. - ISBN 978-5-94380-093-1.";Петербургская неоклассическая архитектура 1900-1910-х годов в зеркале конкурсов;Басс В.Г.;"В содерж.: ""Петербург: сослагательное наклонение""/ художник Евгений Попов"
"   Париж увиденный русскими художниками : 1900-2000 годы  : [каталог] / авт.-сост. Наталия Богородская. - М. : [Экспо-Парк], 2010. - 64 с. : ил. ; 15 см. - ЦДХ (Москва): ноябрь 2009. - Текст парал. на рус. и фр. яз.";Париж увиденный русскими художниками;;ЦДХ (Москва): ноябрь 2009
"   Новосибирский государственный художественный музей / сост. и авт. вступ. ст. А.Д. Клушин. - Новосибирск : Новосибирский художественный музей, 2010. - [264] с. : ил. ; 29 см. - Библиогр.: с.46 и в подстр. примеч. - Текст парал. на рус. и англ. яз. - ISBN 978-5-7620-1435-9.";Новосибирский государственный художественный музей;;Текст парал. на рус. и англ. яз.
"   Наталья Алексеева-Штольдер. Живопись : [альбом] / авт. вступ. ст. О. Давыдова. - М. : Виртуальная галерея, 2010. - 23 с. : ил. ; 22 см. - Дарств. надпись б-ке ГМИИ им. А.С. Пушкина от Н. Алексеевой-Штольдер. - ISBN 978-5-98181-061-9.";Наталья Алексеева-Штольдер. Живопись;;Дарств. надпись б-ке ГМИИ им. А.С. Пушкина от Н. Алексеевой-Штольдер
"Первушина, Елена Владимировна.   Музеи Петербурга  : Большие и маленькие  / Елена Первушина. - М. ; СПб. : Центрполиграф :  МИМ-Дельта, 2010. - 398 с. : ил. ; 21 см. - ISBN 978-5-227-02083-3.";Музеи Петербурга ;Первушина Е.В.;
"Голицына, Наталья Петровна.   Моя судьба – это я  / Н.П. Голицына ; сост., вступ. ст., пер. с фр., указ. Т.П. Петерс. - М. : Русскiй Мiръ, 2010. - 464 с., [32] л.  ил. : ил. ; 21 см. - (Семейные хроники: Голицыны. [2]). - ISBN 978-5-89577-151-8.";Моя судьба – это я ;Голицына Н.П.;
"   Маяковский : Окна РОСТА и ГлавПолитПросвета : 1919-1921 / авт.-сост. А.С. Морозов. - М. : Контакт-Культура, 2010. - 96 с. : ил. ; 29 см. - Резюме англ. - ISBN 978-5-903406-18-0.";Маяковский;;Резюме англ.
"""Марк Ротко: в неведомый мир"". выставка (2010; Москва).   Марк Ротко : В неведомый мир.  1949-1969 : кат. выст. / авт. ст. А.В. Толстой. - М. : Центр современной культуры ""Гараж"", 2010. - 95 с. : ил. ; 27 см. - МСИ  «Гараж» (Москва): 23 апреля – 14 августа 2010. - ISBN 978-5-903888-19-1.";Марк Ротко;;МСИ  «Гараж» (Москва): 23 апреля – 14 августа 2010
"Аникин, Владимир Константинович.   Кирпичное чудо Ирбита = Irbit, The ""Brick Wonder"" / В.К. Аникин. - Екатеринбург : Банк культурной информации, 2010. - 104 с. : ил. ; 34 см. - (Национальное достояние России). - Библиогр.: с. 102. - ISBN 978-57851-0732-8.";Кирпичное чудо Ирбита;Аникин В.К.;
"Шамшурин, Валерий Анатольевич.   Казаковская филигрань / В.А. Шамшурин. - Нижний Новгород : Литера, 2010. - 168 с. : ил. ; 25 см. - (Народные художественные промыслы Нижегородской области / Библиотека им. И.П. Склярова). - Библиогр.: с. 127-128. - ISBN 978-5-900915-72-2.";Казаковская филигрань;Шамшурин В.А.;
"""Искусство врачевать и собирать искусство"". выставка (2010-2011; Москва).   Искусство врачевать и собирать искусство = The art of healing and collecting art : Живопись, графика и скульптура художников-нонконформистов из коллекций Михаила Алшибая, Давида Иоселиани и Марка Курцера / составители каталога: А. Смык, А. Чудецкая. - М. : Виртуальная галерея, 2010. - 136 с. : ил. ; 30 см. - РАХ,  Галерея искусств Зураба Церетели (Москва): 16.12.2010-23.01.2011. - ISBN 978-5-98181-067-1.";Искусство врачевать и собирать искусство;;РАХ,  Галерея искусств Зураба Церетели (Москва): 16.12.2010-23.01.2011
"   Евгения Гатилова = Eugeniya Gatilova : Славить жизнь в красоте. Дулево / авт.-сост. Г.В. Бубыренко, И.С. Насонова, С.М. Насонов. - М. : Среди коллекционеров, 2010. - 365 с. : ил. ; 31 см. - (Мастера советского фарфора). - Библиогр.: с. 352-358. - ISBN 978-5-91820-011-7.";Евгения Гатилова;;
"   Дворец, трактуемый как музей... : Царскосельские интерьеры в автохромах 1917 года : [Альбом] / авт. текста и аннот. И.К Ботт, В.Ф. Палауде. - СПб. : Аврора, 2010. - 111 с. : ил. ; 31 см. - ISBN 978-5-7300-0839-7.";Дворец, трактуемый как музей...;;
"Эредиа, Жозе Мариа де.   Греция и Сицилия : пер. с фр. / Ж. -М. де Эредиа ; послесл. и коммент. И.С. Поступальского ; ил. Мориса де Бека. - СПб. : Вита Нова, 2010. - 256 с. : ил. ; 25 см. - Библиогр. в подстр. примеч. - ISBN 978-5-93898-313-7.";Греция и Сицилия;Эредиа Ж. -М. де;
"Верлен, Поль.   Галантные празднества : Перевод с французского : 23 иллюстрации Жоржа Барбье /  ; пер., сост., коммент., указ. имен М.Д. Яснова ; биогр. очерк В.Я. Брюсова ; ил. Ж. Барбье. - СПб. : Вита Нова, 2010. - 256 с. : ил., портр. ; 26 см. - (Фамильная библиотека. Будуар.). - Экз. №19 из девяноста пронумерованных. - ISBN 978-5-93898-270-3.";Галантные празднества;Верлен П.;Экз. №19 из девяноста пронумерованных
"Матссон, Светлана.   Всемирная история туалетов / С. Матссон. - СПб. : Алетейя	, 2010. - 166 с.,[8] л. ил. : ил. ; 22 см. - (Историческая книга). - Библиогр.: с. 165. - ISBN 978-5-91419-302-4.";Всемирная история туалетов;Матссон С.;
"   Волхонка,14 : Место имеет значение : Общественность страны и мира о судьбе нашего философского дома / предисл.: А.А. Гусейнов. - М. : РАН Институт философии, [2010]. - 198 c. : ил. ; 26 см.";Волхонка,14;;
"   История литературы Италии = Storia della letteratura Italiana / Ред. кол.: М. Л. Андреев (гл. ред. ) и др.; Ин-т мировой лит. им. А. М. Горького, РАН. - М. : ИМЛИ РАН : Наследие, 2000-. - 22 см.   Т. 2 : Возрождение.  Книга 2 : Чинквеченто / Отв. ред. М. Л. Андреев. -  2010. - 719 с. - Библиогр.: с. 642-674. - ISBN 978-5-9208-0358-0	.";Возрождение;;
"""Василий Алексеевич Ватагин. К 125-летию со дня рождения"". конференция (2009; Москва).   Василий Алексеевич Ватагин : К 125-летию со дня рождения : Материалы международной музейной конференции / сост. Л.Я. Петрунина ; науч. ред. Л.В. Марц. - М. : Экспресс 24, 2010. - 187 с. : ил. ; 21 см + + CD. - Государственная Третьяковская галерея (Москва): 5 - 6 фев. 2009. - ISBN 978-5-904825-01-0.";Василий Алексеевич Ватагин;;Государственная Третьяковская галерея (Москва): 5 - 6 фев. 2009
"Пивоваров, Виктор Дмитриевич.   АХ и ОХ / Виктор Пивоваров. - Вологда : Герман Титов, 2010. - 215 с : ил. ; 25 см. - (Библиотека московского концептуализма  Германа Титова). - ISBN 978-5-91967-030-8.";АХ и ОХ;Пивоваров В.Д.;
"   Архитектурное наследие А.С. Каминского в Москве  /  ; Е.И. Кириченко. - М. : Издательский Дом Руденцовых, 2010. - 415 с. : ил. ; 31 см.";Архитектурное наследие А.С. Каминского в Москве ;;
"   Александровский дворец : [альбом] / авт. ст. Л.В. Бардовская, В.Ф. Плауде, И.Г. Степанченко. - СПб. : Аврора, 2010. - 159 c. : ил. ; 31 см. - ISBN 978-5-7300-0910-3.";Александровский дворец;;
"""The New Décor"". выставка (2010-2011; Москва / Лондон).   The New Décor / авт. Ю. Аксенова и др. - М. : Центр современной культуры ""Гараж"", 2010. - 160 с. : ил. ; 25 см. - Галерея ""Hayward"" (Лондон): 19 июн. - 5 сен. 2010. - Фонд ""Айрис"" и Центр современной культуры ""Гараж"" (Москва): 19 окт. 2010 - 6 фев. 2011. - ISBN 978-5-903888-20-7.";The New Décor;;"Галерея ""Hayward"" (Лондон): 19 июн. - 5 сен. 2010"
"""In the Mirrors of Time"". exhibition (2010-2011; Nairobi).   In the mirrors of time : Kenya photo collection by Gerhard Lindblom : photo exhibition catalogue = В зеркале времени : кенийская фотоколлекция Герхарда Линдблома : каталог фотовыставки / Е.А. Резван. - СПб. : Петроний, 2010. - 48 с. : ил. ; 24 см. - Kenya National Museum (Nairobi): 26 Nov. 2010 - 31 Jan. 2011. - В надзаг.: К столетию создания Национального музея Кении. - ISBN 978-5-91-373-033-6.";In the mirrors of time : Kenya photo collection by Gerhard Lindblom : photo exhibition catalogue;;Kenya National Museum (Nairobi): 26 Nov. 2010 - 31 Jan. 2011
"""Русский фарфор. Фарфоровое заведение Н.Б. Юсупова. 1818-1831"". выставка (2009; Мос. обл.).   Юсуповский фарфор : Изделия фарфорового заведения князя Н.Б. Юсупова в Архангельском : [каталог] / авт. ст. и сост. кат. Н.Л. Бережная ; под общ. ред. Н.В. Сиповской. - М. : Пинакотека, 2009. - 328 с. : ил. ; 30 см. - Библиогр. в подстр. примеч. - Гос. музей-усадьба ""Архангельское"": апр. - окт. 2009. - ISBN 978-5-88149-355-4.";Юсуповский фарфор;;"Гос. музей-усадьба ""Архангельское"": апр. - окт. 2009"
"Тавьев, Максим Юрьевич.   Шесть живописных шедевров из Флоренции и Москвы : Опыт зрительского восприятия / М.Ю. Тавьев. - М. : МГОМЗ, 2009. - 40 с. : ил. ; 23 см. - В надзаг.: Московский государственный объединенный музей-заповедник. - ISBN 978-5-91353-012-7.";Шесть живописных шедевров из Флоренции и Москвы;Тавьев М.Ю.;В надзаг.: Московский государственный объединенный музей-заповедник
"""Старообрядчество: история и современность"". научная конференция (2008; Санкт-Петербург).   Старообрядчество : история и современность  : материалы международной научно-практической конференции / отв. редактор: А.А. Буров. - СПб. : РПК Макс Принт, 2009. - 117 с. : ил. ; 21 см. - (Петербург объединяет людей). - Библиогр. в постат. примеч. - Музей истории религии (СПб.): 20-30 октября 2008 г. - Конференция в рамках программы Правительства Санкт-Петербурга ""Толерантность"". - ISBN 978-5-9901747-1-9.";Старообрядчество;;Музей истории религии (СПб.): 20-30 октября 2008 г.
"Катулл, Гай Валерий.   Сочинения / Гай Валерий Катулл Веронский ; пер. с латин. О. Славянки. - М. : Русская панорама, 2009. - 384 с. : ил. ; 18 см. - (Antiqua : античные литературные памятники и источники). - ISBN 978-5-93165-250-4.";Сочинения;Катулл Г. В.;
"Соколов, Александр Ростиславович.   Романовы. На благо России / А.Р. Соколов. - СПб. : Лики России, 2009. - 199 с. : ил. ; 30 см. - Библиогр.: с. 194-195. - ISBN 978-5-87417-311-1	.";Романовы. На благо России;Соколов А.Р.;
"Векслер, Александр Григорьевич.   Раскопки на Великом Посаде. Теплые торговые ряды / А.Г. Векслер. - М. : Триумф принт, 2009. - 224 с : ил. ; 30 см. - Библиогр.: с. 102-104. - ISBN  978-5-8125-1340-5.";Раскопки на Великом Посаде. Теплые торговые ряды;Векслер А.Г.;
"Новосибирская Биеннале графики (6; 2009).   Новосибирская биеннале графики : nb. 6 : [каталог] / ред. А. Мартынов. - Новосибирск : НГХМ, 2009. - 176 с. : ил. ; 30 см. - Гос. худ. музей (Новосибирск): 11.09.-15.09.2009. - ISBN 978-5-902696-05-6.";Новосибирская биеннале графики : nb. 6;;Гос. худ. музей (Новосибирск): 11.09.-15.09.2009
"""Неистовый Корней"". выставка (2007-2008; Москва).   Неистовый Корней : Альбом по материалам выставки, посвященной 125-летию со дня рождения К.И.Чуковского / под общ. ред. М.С. Гомозковой. - М. : Три квадрата, 2009. - 328 с. : ил. ; 31 см. - Библиогр.: с. 315. - Гос. Литературный музей (Москва): апрель 2007 - сентябрь 2008.";Неистовый Корней;;Гос. Литературный музей (Москва): апрель 2007 - сентябрь 2008
"   Народный художник России  Михаил Григорьевич Пясковский : [альбом] / Ред.-сост. Г.В. Заболотская ; авт. ст. Е.О. Торопова [и др.]. - Калининград : Пикторика, 2009. - 159 с. : ил. ; 29 см. - Библиогр. в подстр. примеч. - ISBN 978-5-903-782-08-6.";Народный художник России  Михаил Григорьевич Пясковский;;
"   И.Я. Билибин в Египте. 1920-1925	 : Письма, документы и материалы / сост., предисл. и примеч.: В.В. Беляков. - М. : Русский путь, 2009. - 320 с., 4 л. ил. : ил. ; 22 см. - ISBN 978-5-98854-010-6;  978-5-85887-337-2.";И.Я. Билибин в Египте. 1920-1925	;;
"   Зеркало : Литературные сценарии ""Мосфильма"" : классика советского кино / сост. Г. Р. Амбарцумян ; предисл.: К.Г. Шахназаров. - Москва : Художественная литература, 2009. - 583 с., [20] л. ил., портр. ; 23 см. - В содерж.: Летят журавли ; Девять дней одного года ; Я шагаю по Москве ; Июльский дождь ; Берегись автомобиля ; Зеркало ; Агония ; Подранки ; Москва слезам не верит ; Город Зеро. - ISBN 978-280-5-03455-6.";Зеркало;;"В содерж.: Летят журавли ; Девять дней одного года ; Я шагаю по Москве ; Июльский дождь ; Берегись автомобиля ; Зеркало ; Агония ; Подранки ; Москва слезам не верит ; Город Зеро"
"   Западноевропейское искусство XVI-XIX веков = West European Art of the XVI-XIXth centuries : Каталог / галерея Sorgente. - Москва : Галерея  Sorgente, 2009. - 12 с. : ил. ; 30 см + буклет  (1 л. в 3 сл.).";Западноевропейское искусство XVI-XIX веков;;
"Булатов, Эрик.   Живу дальше : статьи, интервью / Э. Булатов. - М. : Артист. Режиссер. Театр , 2009. - 224 с. : ил. ; 17 см. - Библиогр.: с. 220. - ISBN 978-5-87334-119-1.";Живу дальше;Булатов Э.;
Ефимов, Сергей Владимирович.    Оружие Западной Европы XV-XVII вв. / С.В. Ефимов, С.С. Рымша. - СПб. : Атлант, 2009. - 27 см. - ISBN 978-5-98655-026-8.   Книга I. : Доспехи, клинковое оружие, оружие на древках, орудия правосудия. -  2009. - 400 с. : ил. - Библиогр. в примеч. - ISBN 978-5-98655-022-0.;Доспехи, клинковое оружие, оружие на древках, орудия правосудия;Ефимов, С.;
"Успенский, Борис Андреевич.   Гентский алтарь Яна ван Эйка: Композиция произведения: Божественная и человеческая перспектива / Борис Успенский. - М. : Индрик, 2009. - 207 с.: [48] л. ил. ; 24 см. - Библиогр.: с. 161-184 и в подстроч. примеч. - ISBN 978-5-91674-061-5.";Гентский алтарь Яна ван Эйка: Композиция произведения: Божественная и человеческая перспектива;Успенский Б. А.;
"Корляков, Андрей.   Великий русский исход. Европа = Le Grand exode Russe. Europe / А. Корляков. - Paris : YMCA-PRESS, 2009. - 720 с. : ил. ; 30 см. - (Русская эмиграция в фотографиях=L'Émigration Russe en photos). - Библиогр.: с.719. - Текст парал. на рус. и фр. яз. - ISBN 2 85065 265 2.";Великий русский исход. Европа;Корляков А.;Текст парал. на рус. и фр. яз.
"Завьялова, Любовь Владимировна.   Великий князь Константин Николаевич и великие князья Константиновичи :  История семьи  / Л.В. Завьялова, К.В. Орлов. - СПб. : Вита Нова, 2009. - 606, [1] с. : ил., [24] л. ил., портр. ; 25 см. - (Жизнеописания). - Библиогр.: с. 568-569. - ISBN 978-5-93898-225-3.";Великий князь Константин Николаевич и великие князья Константиновичи;Завьялова Л.В.;
"Лаврентьев, Александр.   Варвара Степанова  / А. Лаврентьев. - М. : Русский авангард, 2009. - 252 с. : ил. ; 21 см. - (Творцы авангарда ; [4]). - Библиогр. в подстр. примеч. - ISBN 978-5-91566-007-5	.";Варвара Степанова ;Лаврентьев Александр;
"Дехтерев, Борис Александрович.   Беседы о композиции : Учебное пособие / Б. А. Дехтерев. - Рязань : Б.И., 2009. - 52 с. : ил. ; 22 см. - ISBN 978-5-94473-009-1.";Беседы о композиции;Дехтерев Б. А.;
Ефимов, Сергей Владимирович.    Оружие Западной Европы XV-XVII вв. / С.В. Ефимов, С.С. Рымша. - СПб. : Атлант, 2009. - 27 см. - ISBN 978-5-98655-026-8.   Книга II. : Арбалеты, артиллерия, ручное огнестрельное, комбинированное и охотничье оружие. -  2009. - 384 с. : ил. - Библиогр.: с. 366-381. - ISBN 978-5-98655-028-2.;Арбалеты, артиллерия, ручное огнестрельное, комбинированное и охотничье оружие;Ефимов, С.;
"""Un Certain État du Monde? A Certain State of the World?"". выставка (2009; Москва).   Un Certain État du Monde? A Certain State of the World? A Selection of Works from the François Pinault Foundation = Определенное состояние мира? / коорд. кат. М. Дент-Броклехерст, К. Буржуа, Ф. Заппия. - Milan : Skira, 2009. - 167 с. : ил. ; 28 см. - Центр современной культуры ""Гараж"" (Москва): 19 мар. - 14 июн. 2009. - ISBN 978-88-572-0131-3.";Un Certain État du Monde? A Certain State of the World? A Selection of Works from the François Pinault Foundation;;"Центр современной культуры ""Гараж"" (Москва): 19 мар. - 14 июн. 2009"
"""Trois maîtres du dessin"". exposition (2009; Magny-les-Hameaux).   Trois maîtres du dessin : Philippe de Champaigne, Jean-Baptiste de Champaigne, Nicolas de Plattemontagne / catalogue F. Lanoë ; sous la dir. sci. de P. Rosenberg. - Paris : Réunion des musées nationaux, 2009. - 208 с. : ил. ; 28 см. - Библиогр.: с. 202-206. - Musée national de Port-Royal des Champs (Magny-les-Hameaux): 25 mar. - 29 jun. 2009. - ISBN 978-2-7118-5569-8.";Trois maîtres du dessin;;Musée national de Port-Royal des Champs (Magny-les-Hameaux): 25 mar. - 29 jun. 2009
"   Massimo Del Chiaro. L'arte del bronzo : (1949-2009) / a cura di Antonella Serafini. -  : Edizioni Monte Altissimo, 2009. - 344 с. : ил. ; 31 см. - Библиогр.: с. 336-339. - ISBN 978-88-96659-09-0.";Massimo Del Chiaro. L'arte del bronzo;;
"""Edik Steinberg"". exposition (2009; Paris).   Edik Steinberg : [catalogue] / texte de Dominique Fernandez. - Paris : Galerie Claude Bernard, 2009. - 89, [4] с. : ил., портр. ; 27 см. - Библиогр.: с. [93]. - Galerie Claude Bernard (Paris): 14 mai-27 juin 2009. - ISBN 978-2-900953-06-8.";Edik Steinberg;;Galerie Claude Bernard (Paris): 14 mai-27 juin 2009
"Грабарь, Игорь Эммануилович.   “Madonna del Popolo” Рафаэля и Мадонна из Нижнего Тагила / И.Э. Грабарь. - Репринт. изд. ; Изд. Центр. гос. реставрационных мастерских 1928 г. - Нижний Тагил : Нижнетагильский музей изобр. искусств, 2009. - 103 с. : ил. ; 24 см.";“Madonna del Popolo” Рафаэля и Мадонна из Нижнего Тагила;Грабарь И.Э.;
"   ""Поставлен монастырь девичь у града Москвы..."" : [Буклет] / автор текста М.М. Шведова. - М. : Государственный исторический музей, 2009. - 127 с. : ил. ; 25 см. - Библиогр.: с. 126. - ISBN 978-5-89-076-155-2.";"""Поставлен монастырь девичь у града Москвы...""";;
"   	Москва Наума Грановского  / предисл.: Наталья Григорьева ; текст: Жанна Васильева. - М. : Фотогалерея имени братьев Люмьер, 2009. - 160 с. : ил. ; 30 см. - Текст парал. на рус. и англ. яз. - ISBN 978-5-9901613-2-0.";	Москва Наума Грановского ;;Текст парал. на рус. и англ. яз.
"Коварская, Светлана Яковлевна.   Ювелирные украшения и табакерки : Конец XVIII-  первая половина XIX века / С.Я. Коварская, И.В. Горбатова. - М. : Московский Кремль, 2008. - 63 с. : ил. ; 24 см. - ISBN 978-5-88678-182-3. - ISBN 978-5-98547-029-1 (КУНА).";Ювелирные украшения и табакерки;Коварская С.Я.;
"   Художественные коллекции в музеях России : справочник - путеводитель. - Изд. 3-е, доп. - СПб. : ФГУК ""Русский музей"", 2008. - 377 с. : ил. ; 21 см. - Библиогр. в конце ст. - ISBN 978-5-903759-02-6.";Художественные коллекции в музеях России;;
   Атлас объектов культурного наследия (памятников истории культуры) города Москвы. / гл. ред. П.С. Уханова. - М. : Издательский Дом Руденцовых, 2008. - 31 см.   т. 3. -  2008. - 283 с. : ил.;т. 3;;
   Атлас объектов культурного наследия (памятников истории культуры) города Москвы / гл. ред. П.С. Уханова. - М. : Издательский Дом Руденцовых, 2008. - 31 см.   т. 2. -  2008. - 253 с. : ил.;т. 2;;
   Атлас объектов культурного наследия (памятников истории культуры) города Москвы. / гл. ред. П.С. Уханова. - М. : Издательский Дом Руденцовых, 2008. - 31 см.   Т. 1. -  2008. - 233 c. : ил. - Библиогр. в постат. примеч.;Т. 1;;
"""Славяне Европы и народы России"". выставка (2007; Санкт-Петербург).   Славяне Европы и народы России : К 140-летию Первой этнографической выставки 1867 года : [кат. выст.] / курат. А.С. Колупаева. - СПб. : Славия, 2008. - 255 с. : ил. ; 31 см. - Библиогр. в подстр. примеч. - Российский этнографический музей (С.-Петербург): 20 нояб. - 20 дек. 2007. - ISBN 978-5-9501-0139-7.";Славяне Европы и народы России;;Российский этнографический музей (С.-Петербург): 20 нояб. - 20 дек. 2007
"   Сергей Иванович Смирнов. ""Профессия - репортер"" : Фотоальбом / Сост., макет, авт. текстов В.А. Коваль, С.И. Смирнов. - СПб. : Фонд исторической фотографии имени Карла Буллы, 2008. - 155 с. : ил. ; 29 см. - ISBN  978-5-85474-100-4.";"Сергей Иванович Смирнов. ""Профессия - репортер""";;
"Житомирская, Сарра Владимировна.   Просто жизнь / С.В. Житомирская. - Москва : РОССПЭН, 2008. - 600 с., [9] л. ил. ; 23 см. - ISBN 5-8243-0749-0.";Просто жизнь;Житомирская С.В.;
"Маркин, Павел Михайлович.   Павел Маркин. Диагноз: фотокорреспондент : фотоальбом / П.М. Маркин. - СПб. : Фонд исторической фотографии имени Карла Буллы, 2008. - 463 с. : ил. ; 27 см. - ISBN 978-5-85474-103-3.";Павел Маркин. Диагноз: фотокорреспондент;Маркин П.М.;
"   Олег Арадушкин : Живопись, графика : [альбом] / редактор: Анастасия Шаронова. - [М.] : СканРус, 2008. - 95 с. : ил. ; 28 см. - ISBN 978-5-9322-125-0.";Олег Арадушкин;;
